date,home_team,away_team,source,retrieved_at_utc,home_decimal_odds,draw_decimal_odds,away_decimal_odds,source_url
2026-07-19,Spain,Argentina,BetMGM,2026-07-18T19:00:00Z,2.30,3.00,3.40,https://www.vegasinsider.com/soccer/spain-argentina-odds-world-cup-2026/
2026-07-19,Spain,Argentina,Oddschecker,2026-07-18T19:00:00Z,2.30,3.00,3.50,https://www.oddschecker.com/insight/football/20260716-world-cup-final-2026-odds-who-is-favourite-spain-or-argentina
2026-07-19,Spain,Argentina,Kalshi,2026-07-18T19:00:00Z,2.3255813953,3.0303030303,3.7037037037,https://www.sportsbettingdime.com/news/soccer/spain-vs-odds-world-cup-final-opening-moneyline-total/
